comment,compound,positive,negative,neutral,label
sedih iya bang ferr yang lihat di tv saja sudah gedeg banget,-0.8402,0.312,0.5,0.188,negative
Gambarnya lain daripada yang lain ini Om cameranya spil Om,-0.9584,0.0,0.696,0.304,negative
1 menit pertama kayak asmr iya bang fer,-0.6124,0.0,0.4,0.6,negative
STY main bertahan tapi ada skema yang jelas lihat saja highligh2 pola permainan yang asik banget tektok an nya itu banyak banget dari permainan timnas jaman sty padahal dengan pemain2 yang belum se mewah sekarang dan satu lagi kayaknya STY selama melatih kayaknya lebih sering di sini indonesia iya di banding kluivert ini kayak habis pertandingan dia pulang terus brapa hari menjelang pertandingan baru datang mau satu bahasa seperti satu negara seperti atau satu keluarga seperti kalau kayak begini jarak nya sama pemain iya begimana mau ada chemistri,0.9719,0.45,0.36,0.189,positive
Bung towel tidak ada komen iya bang Biasa nya waktu STY melatih timnas paling kritis,-0.7184,0.258,0.387,0.355,negative
Dari video ini mengajarkan di negeri ini sudah disistem buat segala sektornya rusak,0.7184,0.435,0.174,0.391,positive
Di tunggu KONTEN BARENG COACH JUSTIN DI TRIFELAS,0.7739,0.529,0.0,0.471,positive
padahal winning team sudah berkali terbukti kalau harus pakai 3 bek ridho jay hubner verdonk bek kiri jangan diganti bek kanan kalau bertahan walsh kalau menyerang kevin diks tengah pastikan haye main starter dan pelupesi sebagai stopernya lini serang bebas dirombak tapi pastikan ada gelandang serangnya dengan prioritas striker ole,0.6597,0.391,0.351,0.258,positive
Kalah atau menang bukan kesalahan pemain bukan karenanya ada yang harus mundur Yg memang harus mundur adalah karena memang dari dulu kerjaannya memang tidak beres dan kekalahan ini bukan seharusnya menyebabkan seseorang harus mundur Salam,-0.9928,0.234,0.607,0.159,negative
Kalau mereka ketum dan exco ny memang tidak berniat mundur setidaknya dengan gentle mereka harus berani meminta maaf dan mengakui kesalahannya Begitupun dengan tim kepelatihan mereka juga harus berani meminta maaf kepada para supporter dan penggemar serta berani mengakui bahwa mereka belum bisa mewujudkan mimpi kita yaitu lolos piala dunia,-0.875,0.32,0.351,0.33,negative
Masih menunggu keputusan apa selanjutnya selanjutnya dari Pak ET saya harap dia malu dan mundur beserta pelatih pilihannnya,-0.6124,0.356,0.444,0.2,negative
Tim pelatih Harus mengundurkan diri Harus punya malu tahu diri,-0.7184,0.421,0.553,0.026,negative
sedikit pandangan saya mas ferry mungkin pemain lokal bisa di perhatikan salah satu nya Tengg dari Club Deltras saya rasa beliau sosok striker predator yang haus akan peluang dan goal tahu menempatkan posisi Terimakasih,-0.9719,0.203,0.5,0.297,negative
Infokan kalok ada aksi unjuk rasa ke kantor pssi saya join,-0.25,0.385,0.423,0.192,negative
tambahan pelatih nya sih yang harus mundur kalau ET kayak nya kita masih butuh pengalaman nya di bidang bola,-0.9186,0.271,0.5,0.229,negative
Bang cari tahu dong informasi pastinya kenapa dulu STY dipecat Kita penasaran soal itu andaikan itu permasalahan kecil harusnya pssi bisa dewasa atau ada kepentingan tertentu supaya kita semua tahu betapa baiknya PSSI atau betapa buruknya PSSI dalam mengambil keputusan Kita percaya kalau infonya dari bang fery pasti sah Makasih bang sudah menemani masyarakat sehat selalu bang untuk keluarga,0.9932,0.529,0.243,0.229,positive
disuruh sabar dari Zaman Kiper Utama Hendro Kartiko,0.0,0.333,0.389,0.278,neutral
humor saya sebatas ini duduk saja pelatih gurun tidak itu katanya,-0.9578,0.19,0.717,0.093,negative
Erik tohir harus tanggung jawab,-0.875,0.222,0.722,0.056,negative
Ini cairnya gede banget kayaknya bang wkwkkwkw kata pepatah lama bilang kalau lolos tidak dapat apa2 kalau kalah bisa dapat cash mobil rumah,-0.9325,0.339,0.525,0.136,negative
Semoga ada pelatih dari tim salah satu negara Arabmisal dari negara Arab SaudiIrakIran,-0.7184,0.351,0.486,0.162,negative
Kasih tahu bang ke kochiiii siuuu,0.8402,0.667,0.0,0.333,positive
Mewakili masyarakat indonesia bung ferry,-0.6124,0.0,0.5,0.5,negative
Ridho bos selain taktik karena gol salah satu kesalahan dia Walopoun tidak bisa kita pungkiri Kesalahan akan selalu ada dalam sebuah pertandingan,-0.9186,0.333,0.492,0.175,negative
Bung kalau Koci masuk di trifellas coba tanyakan kembali tentang pemecatan STY dan bandingkan jawabannya Setahuku dia akan berubah jawabannya,-0.7184,0.167,0.333,0.5,negative
1321 Poinnya sekarang asumsi warganet bahkan kemana mana,-0.6124,0.0,0.364,0.636,negative
Mantap,0.7906,1.0,0.0,0.0,positive
kita bersatu suarakan pecat semua,-0.9186,0.0,0.857,0.143,negative
Sampe berbusa bicara opini ini tidak dikenal juga sebagai bisa gantikan kekecewaan ini,-0.9432,0.0,0.583,0.417,negative
kulipret mang giblig benar asli,0.7184,0.667,0.0,0.333,positive
Dari awal vidio sudah menduga bahwa kepalanya memang perlu dirapihkan,0.9432,0.704,0.148,0.148,positive
Di bawah liga liga tingkat askab kabupaten asprof harus dijalankan mulai dari usia dini benahi struktur liga sampai akarnya Sembari cari diaspora yang berkualitas jadi jika semuanya terlihat progres nya makan kami akan segera melupakan sakit hati ini,-0.8402,0.338,0.375,0.287,negative
Dalam sebuah kata andai andaikan dilatih Pep Guardiola pun team ini tidak akan lolos kenapa Ya itulah kualitas Rasa kecewa sebenarnya keseimbangan dari rasa Harapan,0.4588,0.433,0.403,0.164,positive
Memang budaya malu pejabat di konoha tidak ada bangmereka tidak punya yang ada ilmu berkilah tingkat dewateroos saja begitu tapi tunggu saja kalau sampek rakyat sudah muak jadinya iya hukum rimba kaya kerusuhan terakhir kemarin,-0.7906,0.426,0.454,0.12,negative
Erik sudah buka suara belum yah,0.7906,0.647,0.235,0.118,positive
Quote elegan pekan iniSiapa yang suruh mimpinya Piala Dunia Kata Bapak Itu,-0.7906,0.259,0.519,0.222,negative
burung trucuk gacor banget itu bang,-0.25,0.222,0.333,0.444,negative
Tanggung jawab ric eric Angin anginan memang,0.7906,0.562,0.188,0.25,positive
Burung Robin nya gacor bang,0.0,0.0,0.0,1.0,neutral
Saya rasa pak ET sepertinya terpaksa dulu harus mecat STYPasti ada permainan dibelakang layar,-0.9517,0.147,0.618,0.235,negative
Saya kira kita tidak perlu menyalahkan siapa2 Kitanya saja yang mengharapkan hasil yang instan dan memiliki ekspektasi yang tinggi Kita cuma unggul di kandang kita semua dan melempem di luar indonesia tidak memanfaatkan peluang dengan benar Kita tidak belajar dari Jepang yang sudah mempersiapkan timnasnya dengan matang berlatih dengan benar Dan pemimpin2 kita yang hrusnya dimintai pertanggungjawaban atas pengambilan keputusan2 atas semua hasil ini,-0.9948,0.247,0.519,0.234,negative
tolong rilis lanjutan menit 843 yang dipotong bang biar pesannya tersampaikan,0.4588,0.435,0.261,0.304,positive
adakah petisi supaya federasi dan pelatih mundur,0.6124,0.5,0.25,0.25,positive
Susah sih bang kalau sudah mafia korupsi nya mendarah daging tidak punya malu memang,-0.8402,0.364,0.523,0.114,negative
Maaf om rambut nya bagusan diarahkan ke belakang lebih nyaman,0.9186,0.684,0.0,0.316,positive
Gak bisa bayangin perasaan pemain yang sudah duluan berjuang dan membela timnas seperti hubner dan lain-lain dan pada akhirnya disaat sudah hampir klimaksmereka tidak bertandingdan pelatih lebih memilih pemain yang baru bergabung,-0.975,0.233,0.507,0.26,negative
konklusinya adalah ET harus mundur dia sudah buat suatu keputusan yang tidak harus dilakukan dan hasilnya sekarang adalah sesuatu yang paling buruk bisa terjadi yaitu tidak lolos kalau tahu diri harusnya mundur sudah dari sejak dia di Inter selalu ambil keputusan yang salah soal pelatih itu artinya ini orang tidak kompeten,-0.9966,0.223,0.615,0.162,negative
dari awal awal mas bintang laut masuk dan di game game awal yang dia pegang melihat mainnya tidak ada kemajuan ditambah pak et tiba tiba ngerubah target jadinya 2030 sudah kelihatan kita tidak akan lolos pildun dan yaah sesuai kata abang ET atau mas bintang laut lebih baik mundur,-0.7184,0.355,0.374,0.271,negative
Ada permainan bandar besar di 2 match ini,0.7184,0.526,0.263,0.211,positive
Sama STY pun saya yakin gagal memang tim lawak Semuanya butuh proses Om proses Indo lolos ini kelihatan dipaksakan banget,-0.9719,0.306,0.597,0.097,negative
Awal pemecatan sty saya sudah tidak punya optimis dengan kepelatihan PK,0.0,0.407,0.37,0.222,neutral
mana yang dulu bilang masalah nya di kendala bahasa kendala komunikasi percuma bisa bicara dengan bahasa yang sama tapi tidak punya skill komunikasi,-0.9584,0.297,0.516,0.188,negative
Tapi sampai sekarang yang saya nggk paham setiap dimana sepak bola indonesia itu mau maju kenapa selalu ada s towel yang ngerecokin Coba deh pikir2 atau inget2 lagi,-0.9001,0.279,0.443,0.279,negative
bang ingin banget lihat kamu potkess sama pak Erick deh rasanya semua kegelisahan kami bisa tersampaikan,0.0,0.333,0.3,0.367,neutral
Agak beraaat di awal kayaknya bang iya,-0.25,0.25,0.333,0.417,negative
Peluang yang jelas depan mata saja di gagal apa lagi kalau memulai dari bawah,-0.9861,0.051,0.821,0.128,negative
dari awal sudah kontroversi biarkan STY menyelesaikan pertarungannya dan STY bisa mengukur sejauh mana dia bisa membawa timnas saat ini pemain sudah keren tinggal diracik supaya permainan bagus tapi kalau tidak ditangan koki yang tepat maka begini akibatnya mana ini towel,-0.9719,0.222,0.457,0.321,negative
timnas main paling bagus waktu lawan Australia di australia memang kalah tapi di 20 menit awal itulah konsep bermain yang sebenarnya dari Patrick Kluivert Tekanan bacotan kritikan dan ktidaksabaran pencinta sepakbola indonesia buat PK belok kanan dan kiri plus waktu itu penyuka sepakbola indonesia masih sayang2 nya sama STY Coba mau sabar sedikit Sekarang kalau saya bilang pertahankan Kluivert Miliki Visi bukan cuma misimisi jangka pendek,0.7184,0.405,0.345,0.25,positive
Gagal bukan bersama orang yang pelan merintis tapi gagal dengan orang baru gagal dengan orang yang dari awal tidak dipercaya publik tapi di paksakan untuk percaya berahir degan gagal dengan rasa paling menyakitkan,-0.9943,0.12,0.651,0.229,negative
I feel the same emotions bang ferry Agree totally all make sense saya kira kamu tidak se deep ini tentang bola dan saya bilang kamu itu tidak mengaku mengaku pundit You gave a view different dimention,-0.9612,0.133,0.407,0.46,negative
Kyknya kalau mundur saja buat mereka hal yang ringan om harus ada konsekuensi yang lebih berat,-0.9638,0.261,0.609,0.13,negative
Saatnya dunia olahraga di kelola oleh para mantan pemainnya bukan dikelola oleh politisi apalagi pengusaha mental politisi ini pakai uang negara bukan uang pribadi ayo kelola untuk memajukan bukan untuk dapat cuan apalagi cuan judi dan bagi2 fee gonta ganti pelatih,0.6124,0.309,0.235,0.456,positive
Satu kata jika patrick kluivert tidak mundur BOIKOT semua jersey atribut tiket tribun sampai patrik mundur bukan tidak nasionalis tapi saking nasionalis harus bergerak,-0.9818,0.13,0.593,0.278,negative
Satu satunya sumber kebahagiaan masyarakat indonesia tetep saja di rusak sama mereka,0.9325,0.607,0.143,0.25,positive
pakai sty lagi fokus piala asia 2027 itu satu2nya yang bisa dilakuin sekarang,-0.875,0.154,0.5,0.346,negative
Erik tohir Mafianya,-0.6124,0.0,0.667,0.333,negative
Tapi change indonesia masih ada tapi jalur undangan,0.25,0.412,0.294,0.294,positive
Seharusny Menpora kita memanggil ketua PSSI dan meminta penjelasan terkait iniapakah ketum harus mundurato ganti pelatih,0.4588,0.412,0.294,0.294,positive
Ibarat cor yang dibagun setegah setegahtidak akan kokh,-0.7906,0.0,0.462,0.538,negative
Aku khawatir PSSI kembali ke masa suram bila ET out Harapannya PK sadar diri untuk out nah Pastoor naik sebagai pelatih kepalanya,-0.1027,0.347,0.332,0.322,negative
Masalah terbesarnya timnas hanya 1 bnyaknya muncul pengamat2 yang tdak jelas sumbernya dan narasi2 negatif yang tidak sah sumbernya di tambah suporter fomo timnas Ujungnya2 yang korban esco pssi pemain timnas pelatih suporter Saya sangat yakin timnas ke depan akan tetap seperti in jika sdm pengamat supprter fomo tidak di perbaiki dulu,-0.9818,0.274,0.462,0.265,negative
agak konyol tapi kenapa nya di ganti t iya bang,0.0,0.267,0.267,0.467,neutral
saking keselnya bung fery mau opening pun sampai bingung mau bicara apa,0.8402,0.5,0.267,0.233,positive
kita sudah melalui proses panjang bertahap sampai ke tahap STY saat itu entah kanapa diganti loh ini STY ET mesti bertanggung jawab lihat saja dari pemilihan pemainnya kmren PK PELATIH TERBAIK KEPALA ENDASMU,0.955,0.483,0.259,0.259,positive
bung towel mana ini tidak ada komentar,-0.25,0.312,0.375,0.312,negative
Setujuuuu PAk Eric tanggung jawabbbb,-0.4588,0.0,0.429,0.571,negative
bang mau tanya bisa tidak indonesia pindah federasi kenapa dari dulu saya selalu mencium gelagat ke tidaksukaan dari AFC thdp sepak bola indonsia setiap laga krusial selalu ada hal2 yang kontroversial misal kenapa kemarin wasitnya dari cina yang notabene negaranya tersingkir juga gara2 indonesia pastilah ada rasa emosional mungkin saja ada mode balas dendam,-0.9872,0.266,0.492,0.242,negative
Gua lebih suka beban ini lebih ke erick tohir di mana keputusannya mengganti pelatih di tengah tengah,0.7184,0.486,0.27,0.243,positive
Kameranya bagus koh,0.4588,0.6,0.0,0.4,positive
2006 iya bang susah betul jadi masyarakat indonesia media saja diatur,-0.6124,0.25,0.4,0.35,negative
gagaal mimpi yang belum jadi kenyataan STY kembali iya,-0.4588,0.294,0.353,0.353,negative
namanya bagi bagi permen kalau ada pelatih baru kanada pendanaan lagi,0.875,0.577,0.231,0.192,positive
Statement dari KucingStututu mengganti yang tidak rusak merusak yang sudah baik membiarkan yang sudah lama rusak menurut saya adalah statement yang sangat tepat Bukan hanya di bola tetapi sewaktu masih aktif di BUMN kita juga sering mengalami seperti itu nomor wonder secara menyeluruh kinerja BUMN selalu jauh dibawah swasta asing,-0.9834,0.305,0.496,0.198,negative
rokoknya apa bang eanak banget tarikannya,-0.4588,0.2,0.4,0.4,negative
wkwkw habis itu si Erick Gw yakin Prabowo tahu Sepak Bola itu salah satu atau mungki sebagian besar yang ngebuat bangsa ini tetap bisa bersatu walau ada masalah di ekonomi Dengan gugurnya timnas maka tidak ada lagi hiburan pelarian kita untuk merasa menang,-0.4588,0.376,0.413,0.211,negative
Btw saya lihat podcast bung Irwandi dan kakak perempuan Poci coach Justin kasih kesempatan STY sampai piala Asia kalau gagal dipecat saran saya lihat progres dan perlu definisikan gagalnya sampai mana kalau gagal pas final jadi Runner up juara dua kalah sama jepang menurut saya masih prestasi dan tidak perlu dipecat At the point kalau mau ganti head coach baru minimal STY pelatih kelompok umur soalnya kalau masih ada STY tinggal melanjutkan kalau pelatih baru lagi mulai dari 0 Ingat progres kemarin bareng STY saja butuh waktu 5 tahun bagaimana dengan pelatih baru netizen kita saja tidak sabaran,0.6124,0.404,0.372,0.224,positive
Bahas etanol bang,0.4588,0.6,0.0,0.4,positive
Udah bagus berproses bersama STY Malah ngebet ingin menang instan bersama pelatih yang mantan pe,0.9001,0.564,0.256,0.179,positive
Towel sama coach botak diam2 saja,0.0,0.333,0.333,0.333,neutral
Kalo mau pecat sty harusnya setelah kompetisi berakhir harusnya begitu,0.0,0.3,0.3,0.4,neutral
Di era sty staf cuma 8 orang Sedangkan di penjahat kelamin 18 staf tapi hasil nol,-0.8402,0.148,0.444,0.407,negative
ayo bisa ayo matangkan kerangka team dan berbicara di piala asia,0.8402,0.522,0.174,0.304,positive
mulai dari indonesia kalah sampek sekarang belum mau bukak instagram demi menjaga tangan agar tidak mengetik di postingan yang membahas indonesia V,-0.9682,0.231,0.558,0.212,negative
saya bahkan cari Justin botak tapi ditutup pula komentar ytb nyaKesellllll guyssss,-0.8402,0.0,0.444,0.556,negative
Kalo pejabat punya malu DPRI UDAH BUBAR DARI ZAMAN KITA MASIH PAKE WARTEL,-0.4084,0.283,0.353,0.364,negative
Gua banyak belajar dari STY tentang mental optimisme dan fighting spirit Tiba tiba dia dipecat dan saya tidak dapat apa apa dari 3 pelatih Dutch ini Selain pesimisme dan rendah diri yang disokong oleh provokator macam Justin Towel dan Akmal,-0.9889,0.207,0.56,0.233,negative
Padahal perkataan pak gusdur hampir terwujud di bawah kepelatihan sty,0.0,0.0,0.0,1.0,neutral
Pak ET menang jagoannya merusak harapan bangsa Indonesia,0.7184,0.417,0.0,0.583,positive
yaa mungkin sudah saatnya check and balance lagi uang sudah keluar banyak masa sih mau begini saja kurangi lagi budgetnya kalau peformanya nga sehebat memang kan lomba saat masih di pegang oleh STY,0.4588,0.362,0.362,0.275,positive
Inilah yang di harapkan para penyinyir STYorang indonesia yang tidak ingin lolos piala dunia,-0.9719,0.139,0.639,0.222,negative
kata saya sih STY come back sih bukan saya pemuja STY tapi progress nya ada dari yang timnas tidak bisa oper bola henti ball acak acakan skrang sudah bisa dan ditambah sekarang pemain nya sudah mewah saya yakin lawan arabirak minimal dapat 4 point,-0.9821,0.275,0.506,0.219,negative
meskipun menunggu 5 tahun lagi apa berapa lama pun kalau cara milih pelatihnya masih model sama kayak waktu pemilihan patrick kluivert iya sama saja kita semua sampai sekarang kan masih heran apa sebenarnya alasan patrick kluivert dipilih sebagai pelatih,-0.9638,0.302,0.51,0.188,negative
Baju kamu beli dmna bang,0.7184,0.667,0.0,0.333,positive
Drama ini sebenarnya sudah bisa ditebak sejak oppa dilengserkan secara paksa,-0.25,0.346,0.385,0.269,negative
ET out itu harus Blundernya ganti pelatih tidak bisa dimaafkan Kalau pelatih biarin lah stay,-0.875,0.3,0.525,0.175,negative
Pelatih Zidane latih Timnas Indonesia,0.8402,0.727,0.0,0.273,positive
hidup hanya sekali tapi kamu lahir di indonesia,0.25,0.412,0.353,0.235,positive
Hidup di indonesia mau bahagia lewat jalur timnas saja masih di akalin sama petinggi penentuan sbenere pas vs arab,0.9682,0.604,0.188,0.208,positive
Gw mah sudah prediksi hasil nyapas friendly match vs LEBANON sampai 0 shoot on goal,0.9501,0.636,0.084,0.28,positive
saya mantan pemain judi slot sepakbola indonesia dibuat seperti judi slot di kasih harapan di awal di buat kecewa di akhir ini fakta,-0.9001,0.195,0.439,0.366,negative
Ego Erick yang tinggi,-0.7906,0.267,0.667,0.067,negative
Kalau memang PK pelatih bagus pasti dia menukangi club di eropa sana,0.9001,0.571,0.214,0.214,positive
Pertama Erik harus bertanggungjawab karena kebijakan nya yang dia anggap level up ternyata bahkan down dia harus mengundurkan diri Kedua pelatih harus bertanggungjawab jawab karena dia yang mengambil keputusan di lapangan dan keputusan nya yang buat timnas kalah Jangan sampai pelatih nya mengundurkan diri harus di pecat,-0.9961,0.245,0.622,0.133,negative
Percayalah tidak akan ada yang mundur kecuali dipecat Kita sudah tahu banyak sejak tragedi kanjuruhan,-0.25,0.409,0.409,0.182,negative
Memang bnr2 bingung mau dibawa kmna tujuannya timnas ini ditengah2 kualifikasi sekelas pildun bisa2nya ada pergantian kepelatihan yang alesannya tidak jlas toh sejak ada sty permainan timnas jadi lebih atraktif kalau memang ktnya tidak ada jaminan lolos lah sedang apa ganti pelatih buang2 uang dan sesudah pertandingan vs irak kemarin ET bilang hujat saya saja seoalah hujatan adalah bentuk konsekwensi yang paling tinggi iya harusnya tahu diri lah harusnya tanggungjwb,0.9325,0.406,0.319,0.275,positive
STY dan PK tetaplah jadi kenangan Jangan Kembali lagi masih ada banyak pilihan contoh Alegri yang di pecat dan kembali ke bianconeri endingnya juga putus,0.6124,0.417,0.333,0.25,positive
Apa ada komentator mundur kalau analisanya tidak tepat iya,-0.7906,0.227,0.545,0.227,negative
Menang 2 kali lawan China dan Bahrain itu juga menang tipis dan salah 1nya dari penalti,0.0,0.364,0.364,0.273,neutral
Hari bingung se indonesia betul pak Erik mundur apa,-0.7184,0.176,0.471,0.353,negative
Mimpi ini di hancurkan sendiri oleh federasi yang korupsarang mafia,-0.9001,0.25,0.571,0.179,negative
Badmood nya bisa 5 tahun ini masyarakat Indonesia apalagi kalau tidak ada yang mundur tidak tahu diri dan tidak ada yang bertanggung jawab,-0.9719,0.279,0.574,0.147,negative
Sakit banget hati saya lihat potensi besar timnas garuda saat ini yang bahkan dihancur leburkan oleh orang2 yang lebih mengedepankan EGO,-0.8941,0.353,0.471,0.176,negative
805 ERICK MAMAM TUH PATRICK AHAHAHAHAHA,-0.694,0.0,0.486,0.514,negative
ILMU PARA DEMANG MEMANG MUMPUNI DIGANTI GHAK MASALAH SUDAH TERIMA UANG BESAR TAPI TETAP HARUS BERSANDIWARA KOLABORASI PENGHIANATAN YG MANTAP ANTARA PEJABAT INDONESIA DAN BELANDA MENGENANG VOC,0.9776,0.565,0.217,0.217,positive
Point 1937 1 Bentuk tanggung jawab bapak ET 1949 2 PK harus diganti 1957 3 Pelatih yang kompeten 2005 jangan salahkan masyarakat kalau kecewa 2058 balik lagi yang disalahin ekspektasi masyarakat trust the proses dan sty sudah mulai prosesnya dan di hentikan di tengah jalan for lebih baik bagus,-0.7717,0.358,0.385,0.257,negative
sakitt banget sumpah sampai sekarang,0.8402,0.818,0.0,0.182,positive
intinya gausah berharap lagi sama timnas kalau kita masih mainkan pemain liga1 tetap saja ngamvas,-0.7184,0.333,0.487,0.179,negative
STY menekankan visi syukur2 menang Kalo PK tidak tahulah,-0.4588,0.348,0.435,0.217,negative
kenapa di potong bang,-0.4588,0.0,0.5,0.5,negative
Mantaf bahas bola sambil merokok sama kopi coy,0.7906,0.538,0.0,0.462,positive
844 kok seperti kepotong bang,-0.25,0.0,0.333,0.667,negative
Bung setuju kah para yang di bilang pengamat bola yang sering cangkeman pas di era sty sebut saj Towel van quyet dan nguyen van akmal di kasih suduh pegang tim jikalau hancur maka harus di baned permanen mereka,-0.7184,0.303,0.342,0.355,negative
Sebenarnya apa sih konflik STY dan pemain diaspora Karena pasca Cina kita menang lawab Arab,-0.25,0.312,0.375,0.312,negative
kadang tidak habis pikirmasih dijalanabis menang lawan Arabmalah dipecat sementara di negara laindipecat karena hasil buruk mana penggantian pelatih nya lebih baik sepadanlebih buruk dengan track recordnya pernah kena kasus juday,-0.7184,0.377,0.403,0.221,negative
1 kesalah lawan China menutup kebanggaan perlawanan dengan Australia arab,-0.25,0.286,0.286,0.429,negative
Era sty begitu permainan menurun langsung ubah strategi dengan mengganti pemain Ini mah tidak ada perubahan sama sekali si spongebob,0.4588,0.391,0.348,0.261,positive
Ada yang bilang kalau memang penggemar sejati dukunglah Timnas jangan hanya ketika menang tapi tetap dukung ketika kalah AAHHH TAIKLAH DAH MUAK DARI GW KECIL SAMPE DAH HAMPIR TUA BEGINI TERUS ENDINGNYA,-0.9836,0.288,0.568,0.144,negative
Pemerintah gagal memberi kebahagiaan bagi rakyat Indonesia Dan rakyat terus diajar untuk menerima kegagalan demi kegagalan,0.875,0.484,0.161,0.355,positive
Kucuran uang dana ditutup krannya,0.7184,0.556,0.0,0.444,positive
yes Erik harus tanggungjawab erikout patrikdkkout,-0.7906,0.235,0.588,0.176,negative
Ga Bakal mundur bang Hanya Pak Erick yang bisa Yang laen Kita harus bisa manfaatkan kemampuan pak erickMr All Talent Ministry,-0.9531,0.174,0.491,0.335,negative
Walaupun aku benci indonesia tapi pendapat rasional aku penggemar indonesia perlu bertenang Pencapaian timnas sudah cukup baik kalah 23 ditangan saudi dan 01 di tangan iraq tu result yang impressive juga Indonesia bukannya negara regular di WC yang baru pertama kali tersingkir sampai penggemar nak merentan Ni baru kickstart untuk timnas indonesia sendiri untuk improve lagi dan lagi Cuba menangkan trofi region dan asia dulu dengan skuad yang ada then baru fikir untuk ke WC menangkan piala ciki untuk buktikan yang skuad ini memang sudah layak ke WC lanjut WC mesti indonesia berjaya punya ke WC since slot 2030 sudah jadi 64 team Goodluck indonesia,0.4939,0.347,0.297,0.356,positive
Pk selama kualifikasi 5 goal 3 goal di antaranya dari pinalti,-0.25,0.214,0.286,0.5,negative
Tujuan awalnya saja sudah beda masa tidak paham sih Di sini selalu ada celah bagi mereka yang ingin kita tetap tertinggal Celah itu bisa di isi oleh mereka sendiri atau mereka yang suaranya bisa ditukar dengan sesuatu Sebelum sepak bola pun Dulu PB Djarum yang gencar melakukan audisi mencari bibit baru atlet badminton di protes hingga audisi tidak berlanjut Jadi kejadian ini bukan hal yang aneh,-0.9958,0.197,0.539,0.263,negative
pas mikirin lagi tentang komentar timnas proyek ET saya rasa ada sebuah kenyataan yang pahit Bener kalau rakyat bisa bantu timnas secara finansial dan moral tapi raykat tidak bisa ikut terlibat keputusan2 PSSI kaya hak milih ketua umum atau pelatih Gua jujur tidak tahu apa semestinya PSSI ngebolehin itu tapi yang pasti kecewa banget ET mecat STY dipertengahan kualifikasi keputusan yang saya rasa tidak mewakili aspirasi banyak pendukung,-0.9524,0.388,0.458,0.154,negative
Yang bertanggung jawab bapak Erik Tohir kenapakarna di saat indonesia lagi berjuangdengan beraninya dan percaya diri mengganti pelatihdengan pelatih yang nga punya taktikterima kasih atas hasil nya,-0.7906,0.344,0.422,0.234,negative
jaga kesehatan bangorang kayak kamu cuma ada 1 1000000 di indonesia,0.0,0.364,0.364,0.273,neutral
saya suka bola tapi dulu sampai jaman STY tidak pernah nonton timnas dan liga indonesia sekalinya nonton itu juga cuma biar ada tontonan pas makan saja mau menang mau kalah terserah tapi ketika ada chance timnas kita bisa masuk ke piala dunia dan harus hancur karena pelatih tarkam ini ngerasain sakit juga loh dan bukan cuma PSSI atau Kluivert yang tanggung jawab tapi pundit pundit sok tahu itu juga harus tanggung jawab terutama yang HP nya 2,-0.967,0.366,0.446,0.188,negative
bagaimana ganti Erik tohir,0.0,0.4,0.4,0.2,neutral
Apakah sepak bola indonesia sudah dimasuki politik semua,-0.7184,0.222,0.556,0.222,negative
Yang tabah iya,0.0,0.462,0.462,0.077,neutral
1 Yg ganti pelatih waktu itu alasannya agar bisa lebih baik komunikasi pelatihpemain dan demi memperbesar peluang ke Pildun 2026 2 Jadi yang ngebet tidak sabaran bukan masyarakat Masyarakat sudah hepi dengan pencapaian timnas terutama dari sisi peningkatan permainan 3 Masyarakat sudah sangat paham semua perlu proses Sebagian masyarakat melihat bahwa proses kearah yabg lebih baik SUDAH BERJALAN Kalo sekarang bangun narasi kita perlu proses kita harus sabar level Indonesia memang belum disitu NGAPAIN STY DIGANTI saya tidak dapat uang atau apalah dari siapun Tp yang pada koar2 soal proses sabar dan level timnas saat ini JAWAB TUH PERTANYAAN,0.9255,0.415,0.33,0.255,positive
Sudah2 memang dari segi kualitas masih belum mumpuni coba cek cek lagi setiap timnas kita yang sekarang cara main nya masih belum bisa ngimbangin jepang,-0.9432,0.267,0.483,0.25,negative
Membangun sepak bola indonesia tidak bisa dalam setahun dua tahun ini tugas panjang kalau dikit dikit ganti pelatih iya lebih baik ketum nya yang diganti,-0.875,0.359,0.469,0.172,negative
Bagaimana mau dipecat ujungnya PSSI dan timnas Indonesia di cerewet oleh DPR dan mpr,0.0,0.25,0.25,0.5,neutral
Yang terhormatuntuk bapak bapak pejabat yang ikut andil dalam bentuk pemikiran ataupun perbuatan dalam hal pergantian Coach STY ke Coach PK sebaiknya anda mengundurkan diri pak Karena bapak telah membuat kesalahan besar mengganti pelatih timnas yang mungkin dalam nama sebagai pesepak bola lebih terkenal dan mahir Tapi tidak untuk seorang PELATIH,-0.6448,0.394,0.411,0.194,negative
ini bisa counter argumen itu katanya pelatih dulu 5 th 6 poin sedangkan tim kepelatihan terbaik ini baru sebentar 6 poin juga Lah ini pemain sudah lengkap bnyak tambahan katanya tim kepelatihan terbaik tapi di Round 5 bahkan 0 poin goal dengan gameplay tidak nambah bnyak kebobolan bahkan makin banyak permainan juga tidak ada jelasnya,0.875,0.42,0.345,0.235,positive
